dsld_id,source_sha256,source_rowid,scope,units_per_serving,daily_units_min,daily_units_max,unit,reason
183678,2dfd31fc958ca87a45b2fcb4f01e094cb44a3a27a513d3008ab5c1e35aac813b,927487,maintenance,3,3,5,capsules,Use days 6 onward only; the separate loading instruction is seven capsules four times daily.
183686,09bfab06b08d05bbcc9ab3056a6b13cc9c1596eeef4fc5ea25526daa8a6538d9,927505,maintenance,3,3,5,capsules,Use days 6 onward only; do not average loading and maintenance.
18777,d48cdaeb6fc464ec5db974e4b99c4f774ec3bd73f0547f83360bd60690302ef3,,frequency_unspecified,,,,,A 10 mL administration is specified but no daily frequency.
211635,0d502a3756c39121a5d46f48c37eeb6b5002f9e8587eb7cb80aa4f1f018fc037,1060420,daily,4,8,8,grams of powder,One 4 g scoop twice daily; calculate only the declared monohydrate component of HMB+ Creatine.
215240,d71eb9966a05b4847c398b6762edc1b8a265fc3aa2b64c495ab90b2c323d3a24,1092832,daily,3,6,6,capsules,Three capsules twice daily; before and after exercise is preferred timing.
215241,6104b83a6e21acaabcc626b1799b0cb6d40f116629ea0881e2e1b57cec548e36,1092833,daily,3,6,6,capsules,Three capsules twice daily; retain this label ID separately from similar versions.
215649,2a549c5762295a8675886fb50bc1e7b598252d4add196e78ddf030b9a30e1e95,1095098,daily,2.5,2.5,2.5,grams of powder,Use the explicit 2500 mg daily default; physician-directed alternatives are unspecified.
228238,862e968d012924a804e66bd02a530f53147d0d0e336bbe8f7669c7a5de4811b5,,frequency_unspecified,,,,,One serving is described but daily repetition is not stated.
23068,7e1d55f27446406d78b6fd4a93638ab2a005e336ad4dc0e4bb3404c7da05a27f,216280,daily,2500,2500,2500,milligrams of powder,The explicit 2.5 g daily direction equals the listed 2500 mg serving.
253763,7c868c240fc5d9d8acfbdceb36248ac5a386924629b5b59e5e83285ceff426e5,1391032,daily,4,4,4,capsules,Four capsules daily equals one 2800 mg serving; physician alternatives have no numeric schedule.
253769,9be94d05d04f3f713d84df46428d69820e2f076f04e9bfeeb3cfb08b0808c931,1391038,daily,4,4,4,capsules,Four capsules daily equals one serving; do not multiply 2800 mg by four again.
262856,457e38668b083f7fd1cb50dbe8feae3cb226e4f8b9edaa393fb84f565f789350,1464223,daily,3,6,6,capsules,Three capsules twice daily; exercise wording describes preferred timing.
262880,22c61a46c7fb77bc5bbdc496d58e205a35234281ce4cd8168a37f009c1ce3b2b,1464374,daily,3,6,6,capsules,Three capsules twice daily; no requirement to assume two workouts.
2707,beaa4e055e04055d8b850777bdd6a1ab70303fcb17b69697bab5b4cb6ee1998c,,missing_directions,,,,,Suggested Use is blank and facts serving quantity is null; no daily estimate.
272452,f9b184960da7217c3fa78ad360485fb2d4502df08ca6c9c46f94749ee8f4c0d9,1544900,daily,1,1,1,capsules,Use one capsule daily as written; practitioner alternatives remain unspecified.
273606,ff4a8213a138fb10c1f2e8006329436eefb1a5ab7a7adaff571163b667d9b367,1557387,daily,2.5,2.5,2.5,grams of powder,Half scoop is approximately 2.5 g and is directed daily; use that default only.
274287,f6d5040757a03679e407474c88f95137d41ce5b5c385b0eff141a835a5e7478b,,workout_only,,,,,Maintenance is tied to workout timing without an explicit daily frequency; loading is separate. Other creatine forms are not added to monohydrate.
