table_name,file_name,sha256,rows,acquired_on
DietarySupplementFacts,DietarySupplementFacts_1.csv,e8251b420214ffef90c9e62db6554d2f5b384b9c309d4eeffea1e52934e183c1,301879,2026-01-10
DietarySupplementFacts,DietarySupplementFacts_2.csv,4bd99a5aa20fe796545f5d78a271d3b434139fd32298a85634f85b7589cb406f,324361,2026-01-10
DietarySupplementFacts,DietarySupplementFacts_3.csv,aa1d5d2795c7fd653e070ff2ad0d68ed417c910680b75d28abce631e54027849,328525,2026-01-10
DietarySupplementFacts,DietarySupplementFacts_4.csv,f05ab430dc3cc7f2303097b08b14f98fb0d30d0f204a0afc6530fc73227f51e0,284737,2026-01-10
DietarySupplementFacts,DietarySupplementFacts_5.csv,5eda3e83a76c405c75759866e01daad5fafc34e1011ef445ff92e72bc82c6feb,271943,2026-01-10
DietarySupplementFacts,DietarySupplementFacts_6.csv,afbd828b11ca0e9e12c833a11c8b2ef0e12ea158806a859f5f55f10f6f5adee3,227194,2026-01-10
DietarySupplementFacts,DietarySupplementFacts_7.csv,9def953088a980adfaf0970e92a637de33c602df4ffc043e3e93b4c02faac9f8,237075,2026-01-10
DietarySupplementFacts,DietarySupplementFacts_8.csv,2ca00576995ad6d95ed44f76d6ea3d7ab46ef241dc807ded4e2478ed04344122,44416,2026-01-10
ProductOverview,ProductOverview_1.csv,b646cf518f216b6c050cf67503e0d663d04c1a33277fc57f4b74bc16851fa5e7,30000,2026-01-10
ProductOverview,ProductOverview_2.csv,126355b95d62dda9ce94b02efa6edcc6cdaebdc033443f4613d907f39773d042,30000,2026-01-10
ProductOverview,ProductOverview_3.csv,561edc209a93e7b4d4f0308537b7d0d3dbf845ee9d1de6c20cbac593572237d0,30000,2026-01-10
ProductOverview,ProductOverview_4.csv,bdfb38503ac514c8155f34f5400a62cf81649135abbe3760377d7e362cdb6567,30000,2026-01-10
ProductOverview,ProductOverview_5.csv,7c670b9ee3dd5d0f3e15f23188920fbe27c4a137c26020250670f251ff6fd4f7,30000,2026-01-10
ProductOverview,ProductOverview_6.csv,fb0143f090937251b63cd61c57195e714d5a3c59f9de88bb0d42bad23e60cc6a,30000,2026-01-10
ProductOverview,ProductOverview_7.csv,fda39d1a29f019cd8e9a8def95721100ec8b814f00c75f6909121087807ed7d6,30000,2026-01-10
ProductOverview,ProductOverview_8.csv,8709dfbe4abef743a8e5c0707513d1df812fef5977dd18045d6f0ffe0f16776f,4780,2026-01-10
