dsld_id,label_url,product_name,max_grams,selected_source_rowid,unresolved_rows,suggested_use,review_status,dosage_form,serving_basis,daily_min_g,daily_max_g,reviewer,reviewed_on,notes
183678,https://dsld.od.nih.gov/label/183678,Creatine Monohydrate,2.25,927487,0,Directions: Loading Phase: Days 1-5: Take seven (7) capsules four (4) times daily with 8-12 oz. water.Maintenance Phase: Days 6 and beyond: Take three (3) to five (5) capsules daily with 8-12 oz of water.,pending,,,,,,,
183686,https://dsld.od.nih.gov/label/183686,Creatine Monohydrate,2.25,927505,0,Directions: Loading Phase: Days 1-5: Take seven (7) capsules four (4) times daily with 8-12 oz. water. Maintenance Phase: Days 6 and beyond: Take three (3) to five (5) capsules daily with 8-12 oz. of water.,pending,,,,,,,
18777,https://dsld.od.nih.gov/label/18777,Creatine Plasma Exotic Fruit,2.5,173767,0,RECOMMENDED USE: Shake well prior to use. Dispense 10mL (1 full Delivery Detonator(TM)) of CREATINE PLASMA(TM) into mouth and swallow. CREATINE PLASMA(TM) can be stacked with POWER SHOCK(R); PROTEIN RUSH(R) and MELTDOWN(R) FAT INCINERATOR(TM).,pending,,,,,,,
211635,https://dsld.od.nih.gov/label/211635,HMB+ Creatine,2.5,1060420,0,Directions: To benefit from taking CaHMB and Creatine Monohydrate you require 3g and 5g respectively per day. To achieve this take one level scoop (4g) twice a day ideally with food.,pending,,,,,,,
215240,https://dsld.od.nih.gov/label/215240,Creatine,2.25,1092832,0,Directions: As a dietary supplement; take 3 capsules two times daily; preferably before and after exercise.,pending,,,,,,,
215241,https://dsld.od.nih.gov/label/215241,Creatine,2.25,1092833,0,Directions: As a dietary supplement; take 3 capsules two times daily; preferably before and after exercise.,pending,,,,,,,
215649,https://dsld.od.nih.gov/label/215649,Creatine Monohydrate,2.5,1095098,0,Directions: As dietary supplement; take 2500 mg (1 tsp) daily; preferably before a workout or as directed by a physician. Individual needs vary greatly. Drink lots of water.,pending,,,,,,,
228238,https://dsld.od.nih.gov/label/228238,Creatine XS Unflavored,2.5,1172928,0,Directions: Take 1 serving of CREATINE XS (2.5 Grams) with 4-6 oz (120-180 mL) of cold water; juice or your favorite beverage. Use in conjunction with a proper diet and exercise regimen to maximize  results.,pending,,,,,,,
23068,https://dsld.od.nih.gov/label/23068,Creatine Monohydrate Powder,2.5,216280,0,Directions: As a dietary supplement; take 2.5 grams (1 tsp) daily; preferably before working out. Individual needs vary greatly. Drink lots of water.,pending,,,,,,,
253763,https://dsld.od.nih.gov/label/253763,Creatine Monohydrate 700 mg,2.8,1391032,0,Directions: As a dietary supplement; take 4 capsules daily; preferably before a workout or as directed by a physician. Individual needs vary greatly. Drink lots of water.,pending,,,,,,,
253769,https://dsld.od.nih.gov/label/253769,Creatine Monohydrate 700 mg,2.8,1391038,0,Directions: As a dietary supplement; take 4 capsules daily; preferably before a workout or as directed by a physician. Individual needs vary greatly. Drink lots of water.,pending,,,,,,,
262856,https://dsld.od.nih.gov/label/262856,Creatine,2.25,1464223,0,Directions: As a dietary supplement; take 3 capsules two times daily; preferably before and after exercise.,pending,,,,,,,
262880,https://dsld.od.nih.gov/label/262880,Creatine,2.25,1464374,0,Directions: As a dietary supplement; take 3 capsules two times daily; preferably before and after exercise.,pending,,,,,,,
2707,https://dsld.od.nih.gov/label/2707,Chewable Creatine Monohydrate Orange,2.5,22311,0,,pending,,,,,,,
272452,https://dsld.od.nih.gov/label/272452,Creatine,0.75,1544900,0,Directions: Adults; take 1 capsule daily; preferably with a meal; or as directed by your healthcare professional.,pending,,,,,,,
273606,https://dsld.od.nih.gov/label/273606,Creatine SAP,2.5,1557387,0,Directions for use: Adults: Take 1/2 scoop (approx. 2.5 g) daily with water / juice or as directed by your healthcare practitioner.,pending,,,,,,,
274287,https://dsld.od.nih.gov/label/274287,CreaPlex Creatine,2.25,1563539,0,Usage: Mix two scoops to 8-12 oz. of water. Experts recommend loading for best results. To load: Take 1 serving 4x a day for 5 days. To maintain: Take 30 min before workout or directly after. Drink an extra 16 oz. of water per day for every serving used.,pending,,,,,,,
276660,https://dsld.od.nih.gov/label/276660,Micronized Creatine Capsules 2.5 g,2.5,1587081,0,Directions: Take 2 capsules with a meal twice daily.Tips: Consuming carbohydrates helps with muscle retention of creatine.,pending,,,,,,,
282205,https://dsld.od.nih.gov/label/282205,Creatine Monohydrate Powder,1.0,1621252,0,DirectionsStir 1/4 of a teaspoon into a glass of water and consume 3 times daily; with meals.,pending,,,,,,,
290441,https://dsld.od.nih.gov/label/290441,Creatine Monohydrate Powder,1.0,1665224,0,DirectionsStir 1/4 of a teaspoon into a glass of water and consume 3 times daily; with meals.,pending,,,,,,,
297713,https://dsld.od.nih.gov/label/297713,Creatine Five Unflavored,2.0,1718287,0,Directions: Mix 1 scoop of Staunch Creatine Five with 8 ounces of your favorite drink. Consume daily.,pending,,,,,,,
