source_rowid,dsld_id,ingredient,raw_amount,raw_unit,parse_status,grams
99909,10571,HPLC Pure Creatine Monohydrate,5000,mg,usable,5.0
99910,10572,HPLC Pure Creatine Monohydrate,4200,mg,usable,4.2
101141,10740,Creatine Monohydrate,750,mg,usable,0.75
102532,10939,Creatine Monohydrate,200,mg,usable,0.2
102605,10960,Creatine Monohydrate,5000,mg,usable,5.0
114062,12395,Creatine Monohydrate,5000,mg,usable,5.0
114063,12395,Creatine Monohydrate,1667,mg,usable,1.667
114470,12442,Creatine Monohydrate,10,g,usable,10.0
114471,12442,Creatine Monohydrate,5,g,usable,5.0
114472,12442,Creatine Monohydrate,10,g,usable,10.0
114939,12478,Creatine Monohydrate,3,g,usable,3.0
115007,12492,Creatine Monohydrate,3,g,usable,3.0
115028,12494,Creatine Monohydrate,3,g,usable,3.0
115058,12498,Creatine Monohydrate,3,g,usable,3.0
115077,12499,Creatine Monohydrate,3,g,usable,3.0
115096,12500,Creatine Monohydrate,3,g,usable,3.0
115382,12542,Creatine Monohydrate,,,missing_amount,
115918,12650,Creatine Monohydrate,3,g,usable,3.0
116248,12707,Creatine Monohydrate,3,g,usable,3.0
116493,12734,Creatine Monohydrate,4.5,g,usable,4.5
116522,12736,Creatine Monohydrate,3,g,usable,3.0
116706,12757,Creatine Monohydrate,3,g,usable,3.0
116744,12766,Creatine Monohydrate,,,missing_amount,
116830,12777,Creatine Monohydrate,3,g,usable,3.0
116979,12786,Creatine Monohydrate,3,g,usable,3.0
117015,12788,Creatine Monohydrate,3,g,usable,3.0
117073,12792,Creatine Monohydrate,3,g,usable,3.0
117204,12798,Creatine Monohydrate,3,g,usable,3.0
117263,12803,Creatine Monohydrate,3,g,usable,3.0
117757,12850,Creatine Monohydrate,3,g,usable,3.0
117795,12852,Creatine Monohydrate,3,g,usable,3.0
117804,12854,Creatine Monohydrate,750,mg,usable,0.75
117942,12858,Creatine Monohydrate,3,g,usable,3.0
119512,12990,Creatine Monohydrate,5000,mg,usable,5.0
119680,13018,Creatine Monohydrate,5,g,usable,5.0
119682,13019,Creatine Monohydrate,5,g,usable,5.0
119684,13020,Creatine Monohydrate,5,g,usable,5.0
119688,13022,Creatine Monohydrate,5,g,usable,5.0
119694,13024,Creatine Monohydrate,4.5,g,usable,4.5
119713,13029,Creatine Monohydrate,4.5,g,usable,4.5
120052,13106,Creatine Monohydrate,2.5,g,usable,2.5
5391,1312,Creatine Monohydrate,,,missing_amount,
121039,13265,Creatine Monohydrate,,,missing_amount,
121149,13274,Creatine Monohydrate,,,missing_amount,
121195,13278,Creatine Monohydrate,,,missing_amount,
121252,13283,Creatine Monohydrate,,,missing_amount,
121377,13301,Creatine Monohydrate,5,g,usable,5.0
125785,13927,Creatine Monohydrate,10,g,usable,10.0
125786,13927,Creatine Monohydrate,5,g,usable,5.0
129580,14420,Creatine Monohydrate,1667,mg,usable,1.667
129581,14420,Creatine Monohydrate,5000,mg,usable,5.0
129678,14436,Creatine Monohydrate,5,g,usable,5.0
130770,14523,Creatine Monohydrate,,,missing_amount,
132012,14625,Creatine Monohydrate,1500,mg,usable,1.5
132197,14653,Creatine Monohydrate,1500,mg,usable,1.5
132220,14655,Creatine Monohydrate,1500,mg,usable,1.5
132236,14657,Creatine Monohydrate,5,g,usable,5.0
6192,1497,HPLC Pure Creatine Monohydrate,5000,mg,usable,5.0
137587,15220,Creatine Monohydrate,80,mg,usable,0.08
138631,15357,Creatine Monohydrate,100,mg,usable,0.1
140987,15499,HPLC Pure Creatine Monohydrate,4200,mg,usable,4.2
140988,15500,HPLC Pure Creatine Monohydrate,4200,mg,usable,4.2
142157,15583,Creatine Monohydrate,3000,mg,usable,3.0
142304,15594,Creatine Monohydrate,3000,mg,usable,3.0
142993,15636,Creatine Monohydrate,2,g,usable,2.0
143481,15668,Creatine Monohydrate,,,missing_amount,
143501,15671,HPLC Pure Creatine Monohydrate,5000,mg,usable,5.0
143514,15674,Creatine Monohydrate,,,missing_amount,
143515,15674,Creatine Monohydrate,,,missing_amount,
143800,15691,HPLC Pure Creatine Monohydrate,5000,mg,usable,5.0
144762,15757,Creatine Monohydrate,750,mg,usable,0.75
144845,15765,Creatine Monohydrate,750,mg,usable,0.75
144998,15772,Creatine Monohydrate,,,missing_amount,
145387,15812,Creatine Monohydrate,3200,mg,usable,3.2
146382,15884,Creatine Monohydrate,10,g,usable,10.0
146383,15884,Creatine Monohydrate,10,g,usable,10.0
146384,15884,Creatine Monohydrate,5,g,usable,5.0
146543,15894,Creatine Monohydrate,10,g,usable,10.0
146544,15894,Creatine Monohydrate,5,g,usable,5.0
146545,15894,Creatine Monohydrate,10,g,usable,10.0
828752,164411,Creatine Monohydrate,1667,mg,usable,1.667
828868,166479,Creatine Monohydrate,1,Gram(s),usable,1.0
828869,166479,Creatine Monohydrate,1,Gram(s),usable,1.0
828891,166675,Creatine Monohydrate,1000,mg,usable,1.0
155148,16968,Creatine Monohydrate,5,g,usable,5.0
828939,169991,Creatine Monohydrate,,,missing_amount,
155730,17023,Creatine Monohydrate,49,mg,usable,0.049
829064,170351,Creatine Monohydrate,,,missing_amount,
156265,17046,Creatine Monohydrate,,,missing_amount,
829248,171549,Creatine Monohydrate,,,missing_amount,
829256,171624,Creatine Monohydrate,1875,mg,usable,1.875
829686,173674,Creatine Monohydrate,,,missing_amount,
831662,173870,Creatine Monohydrate,5,Gram(s),usable,5.0
834876,174102,Creatine Monohydrate,5,Gram(s),usable,5.0
835481,174157,Creatine Monohydrate,1,Gram(s),usable,1.0
835482,174157,Creatine Monohydrate,1,Gram(s),usable,1.0
835884,174174,Creatine Monohydrate,1,Gram(s),usable,1.0
835885,174174,Creatine Monohydrate,1,Gram(s),usable,1.0
836007,174180,Creatine Monohydrate,1,Gram(s),usable,1.0
836353,174238,Creatine Monohydrate,1,Gram(s),usable,1.0
836354,174238,Creatine Monohydrate,1,Gram(s),usable,1.0
836419,174241,Creatine Monohydrate,1,Gram(s),usable,1.0
836473,174242,Creatine Monohydrate,1,Gram(s),usable,1.0
836474,174242,Creatine Monohydrate,1,Gram(s),usable,1.0
837512,174364,Creatine Monohydrate,1,Gram(s),usable,1.0
837513,174364,Creatine Monohydrate,1,Gram(s),usable,1.0
838150,174421,Creatine Monohydrate,1,Gram(s),usable,1.0
838151,174421,Creatine Monohydrate,1,Gram(s),usable,1.0
838224,174427,Creatine Monohydrate,1,Gram(s),usable,1.0
838225,174427,Creatine Monohydrate,1,Gram(s),usable,1.0
838537,174463,Creatine Monohydrate,1,Gram(s),usable,1.0
838538,174463,Creatine Monohydrate,1,Gram(s),usable,1.0
838656,174470,Creatine Monohydrate,1,Gram(s),usable,1.0
838657,174470,Creatine Monohydrate,1,Gram(s),usable,1.0
838719,174473,Creatine Monohydrate,1,Gram(s),usable,1.0
838720,174473,Creatine Monohydrate,1,Gram(s),usable,1.0
839208,174586,Creatine Monohydrate,1,Gram(s),usable,1.0
839209,174586,Creatine Monohydrate,1,Gram(s),usable,1.0
839336,174595,Creatine Monohydrate,1,Gram(s),usable,1.0
839337,174595,Creatine Monohydrate,1,Gram(s),usable,1.0
840568,174691,PharmaPure Creatine Monohydrate,3,Gram(s),usable,3.0
841170,174741,PharmaPure Creatine Monohydrate,2,Gram(s),usable,2.0
841293,174747,PharmaPure Creatine Monohydrate,2,Gram(s),usable,2.0
841396,174752,PharmaPure Creatine Monohydrate,2,Gram(s),usable,2.0
842370,174887,Creapure brand Creatine Monohydrate,,,missing_amount,
843078,174980,PharmaPure Creatine Monohydrate,2.5,Gram(s),usable,2.5
843137,174985,PharmaPure Creatine Monohydrate,2.5,Gram(s),usable,2.5
843314,174999,PharmaPure Creatine Monohydrate,3,Gram(s),usable,3.0
843647,175013,Creatine Monohydrate,,,missing_amount,
843759,175019,Creatine Monohydrate,,,missing_amount,
846174,175321,Creatine Monohydrate,5,Gram(s),usable,5.0
846873,175398,Creatine Monohydrate,3,Gram(s),usable,3.0
846997,175405,Creatine Monohydrate,3,Gram(s),usable,3.0
159756,17548,Creatine Monohydrate,,,missing_amount,
159797,17551,Creatine Monohydrate,2100,mg,usable,2.1
159963,17573,Creatine Monohydrate,5,g,usable,5.0
159995,17574,Creatine Monohydrate,5,g,usable,5.0
160285,17605,micronized Creapure Creatine Monohydrate,5,g,usable,5.0
160329,17612,micronized Creapure Creatine Monohydrate,5,g,usable,5.0
160344,17613,micronized Creapure Creatine Monohydrate,5,g,usable,5.0
160494,17629,micronized Creapure Creatine Monohydrate,5,g,usable,5.0
853411,176292,Creapure 100% pure Creatine Monohydrate,3,Gram(s),usable,3.0
853670,176323,Creapure 100% pure Creatine Monohydrate,3,Gram(s),usable,3.0
853683,176326,Creapure 100% pure Creatine Monohydrate,3,Gram(s),usable,3.0
853706,176329,Creapure 100% pure Creatine Monohydrate,3,Gram(s),usable,3.0
853718,176331,Creapure 100% pure Creatine Monohydrate,3,Gram(s),usable,3.0
853761,176335,Creapure 100% pure Creatine Monohydrate,3,Gram(s),usable,3.0
853773,176336,Creapure 100% pure Creatine Monohydrate,3,Gram(s),usable,3.0
853786,176338,Creapure 100% pure Creatine Monohydrate,3,Gram(s),usable,3.0
853798,176339,Creapure 100% pure Creatine Monohydrate,3,Gram(s),usable,3.0
853826,176342,Creapure 100% pure Creatine Monohydrate,3,Gram(s),usable,3.0
853840,176345,Creapure 100% pure Creatine Monohydrate,3,Gram(s),usable,3.0
854371,176406,Creapure 100% pure Creatine Monohydrate,3,Gram(s),usable,3.0
855241,176510,Creapure 100% pure Creatine Monohydrate,3,Gram(s),usable,3.0
160715,17664,Creatine Monohydrate,5000,mg,usable,5.0
161137,17703,Creatine Monohydrate,800,mg,usable,0.8
161138,17703,Creatine Monohydrate,800,mg,usable,0.8
161217,17704,Creatine Monohydrate,800,mg,usable,0.8
161218,17704,Creatine Monohydrate,800,mg,usable,0.8
161313,17711,Creatine Monohydrate,5,g,usable,5.0
161352,17715,Creatine Monohydrate,5,g,usable,5.0
862369,177374,Creatine Monohydrate,,,missing_amount,
862743,177400,Creatine Monohydrate,1000,mg,usable,1.0
161771,17793,Creatine Monohydrate,,,missing_amount,
161792,17798,Creatine Monohydrate,,,missing_amount,
162472,17859,Creatine Monohydrate,1,g,usable,1.0
162473,17859,Creatine Monohydrate,1,g,usable,1.0
162553,17861,Creatine Monohydrate,1,g,usable,1.0
162554,17861,Creatine Monohydrate,1,g,usable,1.0
162631,17862,Creatine Monohydrate,1,g,usable,1.0
162632,17862,Creatine Monohydrate,1,g,usable,1.0
162734,17864,Creatine Monohydrate,1,g,usable,1.0
162735,17864,Creatine Monohydrate,1,g,usable,1.0
877539,178732,Creatine Monohydrate,1.5,Gram(s),usable,1.5
877817,178757,Creatine Monohydrate,1.5,Gram(s),usable,1.5
878379,178873,Creatine Monohydrate,5000,mg,usable,5.0
878381,178875,Creatine Monohydrate,5000,mg,usable,5.0
878384,178877,Creatine Monohydrate,5000,mg,usable,5.0
879639,179008,Creatine Monohydrate,,,missing_amount,
881999,179199,Creatine Monohydrate,1125,mg,usable,1.125
882121,179215,Creatine Monohydrate,1125,mg,usable,1.125
888129,179998,Creatine Monohydrate,,,missing_amount,
888186,180009,Creatine Monohydrate,,,missing_amount,
891967,180393,Creatine Monohydrate,,,missing_amount,
893137,180497,Creatine Monohydrate,,,missing_amount,
893273,180511,Creatine Monohydrate,,,missing_amount,
893634,180553,Creatine Monohydrate,2000,mg,usable,2.0
893699,180559,Creatine Monohydrate,,,missing_amount,
896128,180771,Creatine Monohydrate,5,Gram(s),usable,5.0
896423,180802,Creatine Monohydrate,3000,mg,usable,3.0
896989,180852,Creatine Monohydrate,3000,mg,usable,3.0
165149,18086,Creatine Monohydrate,5,g,usable,5.0
165364,18094,Creatine Monohydrate,7,g,usable,7.0
165365,18094,Creatine Monohydrate,3.5,g,usable,3.5
165484,18096,Creatine Monohydrate,,,missing_amount,
165485,18096,Creatine Monohydrate,,,missing_amount,
165622,18097,Creatine Monohydrate,7,g,usable,7.0
165623,18097,Creatine Monohydrate,3.5,g,usable,3.5
165666,18098,Creatine Monohydrate,7,g,usable,7.0
165667,18098,Creatine Monohydrate,3.5,g,usable,3.5
165717,18100,Creatine Monohydrate,3,g,usable,3.0
165774,18103,Creatine Monohydrate,3,g,usable,3.0
166234,18118,Creatine Monohydrate,7,g,usable,7.0
166235,18118,Creatine Monohydrate,3.5,g,usable,3.5
166278,18119,Creatine Monohydrate,3.5,g,usable,3.5
166279,18119,Creatine Monohydrate,7,g,usable,7.0
166359,18121,Creatine Monohydrate,3.5,g,usable,3.5
166360,18121,Creatine Monohydrate,7,g,usable,7.0
901804,181223,Creatine Monohydrate,,,missing_amount,
166502,18125,Creatine Monohydrate,5000,mg,usable,5.0
166503,18125,Creatine Monohydrate,1667,mg,usable,1.667
166693,18130,Creatine Monohydrate,5,g,usable,5.0
166694,18130,Creatine Monohydrate,2.5,g,usable,2.5
166909,18137,Creatine Monohydrate,5,g,usable,5.0
166910,18137,Creatine Monohydrate,2.5,g,usable,2.5
167253,18155,Creatine Monohydrate,,,missing_amount,
905877,181550,Creatine Monohydrate,1,Gram(s),usable,1.0
905878,181550,Creatine Monohydrate,1,Gram(s),usable,1.0
906046,181560,Creatine Monohydrate,1,Gram(s),usable,1.0
906047,181560,Creatine Monohydrate,1,Gram(s),usable,1.0
906162,181570,Creatine Monohydrate,1,Gram(s),usable,1.0
906163,181570,Creatine Monohydrate,1,Gram(s),usable,1.0
906255,181577,Creatine Monohydrate,1,Gram(s),usable,1.0
906256,181577,Creatine Monohydrate,1,Gram(s),usable,1.0
167314,18158,Creatine Monohydrate,7,g,usable,7.0
167315,18158,Creatine Monohydrate,3.5,g,usable,3.5
906381,181581,Creatine Monohydrate,1,Gram(s),usable,1.0
906382,181581,Creatine Monohydrate,1,Gram(s),usable,1.0
906481,181586,Creatine Monohydrate,1,Gram(s),usable,1.0
906482,181586,Creatine Monohydrate,1,Gram(s),usable,1.0
906606,181593,Creatine Monohydrate,1,Gram(s),usable,1.0
906607,181593,Creatine Monohydrate,1,Gram(s),usable,1.0
906767,181601,Creatine Monohydrate,1,Gram(s),usable,1.0
906768,181601,Creatine Monohydrate,1,Gram(s),usable,1.0
906864,181605,Creatine Monohydrate,1,Gram(s),usable,1.0
906865,181605,Creatine Monohydrate,1,Gram(s),usable,1.0
906945,181608,Creatine Monohydrate,1,Gram(s),usable,1.0
906946,181608,Creatine Monohydrate,1,Gram(s),usable,1.0
907102,181612,Creatine Monohydrate,1,Gram(s),usable,1.0
907103,181612,Creatine Monohydrate,1,Gram(s),usable,1.0
167451,18164,Creatine Monohydrate,,,missing_amount,
167459,18164,Creatine Monohydrate,,,missing_amount,
909802,181892,Creatine Monohydrate,,,missing_amount,
910408,181985,Creatine Monohydrate,1500,mg,usable,1.5
911302,182106,Creatine Monohydrate,1250,mg,usable,1.25
911431,182118,Creatine Monohydrate,1250,mg,usable,1.25
911440,182120,Creatine Monohydrate,1250,mg,usable,1.25
913274,182366,Creatine Monohydrate,2.5,Gram(s),usable,2.5
913275,182366,Creatine Monohydrate,5,Gram(s),usable,5.0
913429,182383,Creatine Monohydrate,4,Gram(s),usable,4.0
168213,18240,Creatine Monohydrate,,,missing_amount,
914961,182511,Creatine Monohydrate,2.5,Gram(s),usable,2.5
914962,182511,Creatine Monohydrate,5,Gram(s),usable,5.0
915011,182515,Creatine Monohydrate,2.5,Gram(s),usable,2.5
915012,182515,Creatine Monohydrate,5,Gram(s),usable,5.0
915058,182518,Creatine Monohydrate,2.5,Gram(s),usable,2.5
915059,182518,Creatine Monohydrate,5,Gram(s),usable,5.0
915170,182525,Creatine Monohydrate,10,Gram(s),usable,10.0
915171,182525,Creatine Monohydrate,10,Gram(s),usable,10.0
915253,182533,Creatine Monohydrate,4,Gram(s),usable,4.0
915299,182542,Creatine Monohydrate,5,Gram(s),usable,5.0
915649,182577,Creatine Monohydrate,3,Gram(s),usable,3.0
915650,182577,Creatine Monohydrate,1.5,Gram(s),usable,1.5
916122,182622,Creatine Monohydrate,10,Gram(s),usable,10.0
916123,182622,Creatine Monohydrate,10,Gram(s),usable,10.0
916180,182625,Creatine Monohydrate,10,Gram(s),usable,10.0
916181,182625,Creatine Monohydrate,10,Gram(s),usable,10.0
916268,182629,Creatine Monohydrate,1.5,Gram(s),usable,1.5
916269,182629,Creatine Monohydrate,3,Gram(s),usable,3.0
916447,182634,Creatine Monohydrate,3,Gram(s),usable,3.0
916448,182634,Creatine Monohydrate,1.5,Gram(s),usable,1.5
916500,182636,Creatine Monohydrate,3,Gram(s),usable,3.0
916501,182636,Creatine Monohydrate,1.5,Gram(s),usable,1.5
916544,182638,Creatine Monohydrate,1.5,Gram(s),usable,1.5
916545,182638,Creatine Monohydrate,3,Gram(s),usable,3.0
917630,182728,Creatine Monohydrate,5,Gram(s),usable,5.0
918244,182773,Creatine Monohydrate,10,Gram(s),usable,10.0
918245,182773,Creatine Monohydrate,5,Gram(s),usable,5.0
918246,182773,Creatine Monohydrate,10,Gram(s),usable,10.0
918524,182796,Creatine Monohydrate,6,Gram(s),usable,6.0
918525,182796,Creatine Monohydrate,3,Gram(s),usable,3.0
919292,182860,Creatine Monohydrate,,,missing_amount,
919537,182876,Creatine Monohydrate,10,Gram(s),usable,10.0
919538,182876,Creatine Monohydrate,5,Gram(s),usable,5.0
919539,182876,Creatine Monohydrate,10,Gram(s),usable,10.0
919830,182909,Creatine Monohydrate,3,Gram(s),usable,3.0
919831,182909,Creatine Monohydrate,6,Gram(s),usable,6.0
919882,182914,Creatine Monohydrate,3,Gram(s),usable,3.0
919979,182921,Creatine Monohydrate,3,Gram(s),usable,3.0
919980,182921,Creatine Monohydrate,1.5,Gram(s),usable,1.5
921008,182988,Creatine Monohydrate,3,Gram(s),usable,3.0
921381,183016,Creatine Monohydrate,3,Gram(s),usable,3.0
921586,183041,Creatine Monohydrate,1.5,Gram(s),usable,1.5
921587,183041,Creatine Monohydrate,3,Gram(s),usable,3.0
921946,183048,Creatine Monohydrate,,,missing_amount,
923471,183175,Creatine Monohydrate,,,missing_amount,
923954,183216,Creatine Monohydrate,,,missing_amount,
925148,183308,Creatine Monohydrate,,,missing_amount,
925600,183340,Creatine Monohydrate,,,missing_amount,
926515,183509,Creatine Monohydrate,3000,mg,usable,3.0
926537,183513,Creatine Monohydrate,5,Gram(s),usable,5.0
927333,183647,Creatine Monohydrate,5,Gram(s),usable,5.0
927487,183678,Creatine Monohydrate,2250,mg,usable,2.25
927505,183686,Creatine Monohydrate,2250,mg,usable,2.25
927518,183690,Creatine Monohydrate,5,Gram(s),usable,5.0
927812,183741,Creatine Monohydrate,5,Gram(s),usable,5.0
928094,183806,Creatine Monohydrate,5000,mg,usable,5.0
928419,183838,Creatine Monohydrate,5000,mg,usable,5.0
929427,183900,Creatine Monohydrate,5,Gram(s),usable,5.0
169575,18407,Creatine Monohydrate,5000,mg,usable,5.0
931127,184084,Creatine Monohydrate,3000,mg,usable,3.0
931224,184096,Creatine Monohydrate,4,Gram(s),usable,4.0
931241,184099,Creatine Monohydrate,,,missing_amount,
931269,184103,Creatine Monohydrate,,,missing_amount,
169839,18461,Creatine Monohydrate,1000,mg,usable,1.0
935282,184702,Creatine Monohydrate,4,Gram(s),usable,4.0
170153,18502,Micronized Pure Creatine Monohydrate,,,missing_amount,
938267,185146,Creatine Monohydrate,1,Gram(s),usable,1.0
170688,18539,Micronized Pure Creatine Monohydrate,,,missing_amount,
171098,18583,Creatine Monohydrate,1500,mg,usable,1.5
171145,18586,Creatine Monohydrate,3000,mg,usable,3.0
171793,18646,Micronized Pure Creatine Monohydrate,,,missing_amount,
171845,18649,Micronized Pure Creatine Monohydrate,,,missing_amount,
171900,18653,Micronized Pure Creatine Monohydrate,,,missing_amount,
171930,18654,Micronized Pure Creatine Monohydrate,,,missing_amount,
171960,18655,Micronized Pure Creatine Monohydrate,,,missing_amount,
172381,18685,Creatine Monohydrate,1,g,usable,1.0
172521,18696,Creatine Monohydrate,1,g,usable,1.0
173767,18777,Creatine Monohydrate,2500,mg,usable,2.5
8098,1878,Creatine Monohydrate,,,missing_amount,
174228,18813,Creatine Monohydrate,,,missing_amount,
174325,18830,Creatine Monohydrate,,,missing_amount,
943467,188908,Creatine Monohydrate,5,Gram(s),usable,5.0
174814,18901,Micro Creatine Monohydrate,,,missing_amount,
943545,190923,Creatine Monohydrate,5,Gram(s),usable,5.0
179580,19300,Creatine Monohydrate,,,missing_amount,
179581,19300,Creatine Monohydrate,,,missing_amount,
8616,1937,Creatine Monohydrate,,,missing_amount,
182250,19537,Creatine Monohydrate,200,mg,usable,0.2
9179,1959,Creatine Monohydrate,,,missing_amount,
9223,1960,Creatine Monohydrate,,,missing_amount,
9269,1961,Creatine Monohydrate,,,missing_amount,
9319,1962,Creatine Monohydrate,,,missing_amount,
947952,199426,Creatine Monohydrate,2.25,Gram(s),usable,2.25
957029,200527,Creatine Monohydrate,,,missing_amount,
958321,200650,Creatine Monohydrate,2,Gram(s),usable,2.0
958346,200653,Creatine Monohydrate,2,Gram(s),usable,2.0
958355,200655,Creatine Monohydrate,2,Gram(s),usable,2.0
958528,200672,Creatine Monohydrate,5000,mg,usable,5.0
188160,20070,Creatine Monohydrate,2000,mg,usable,2.0
188223,20075,Creatine Monohydrate,,,missing_amount,
961942,201054,Creatine Monohydrate,5,Gram(s),usable,5.0
10178,2013,Creatine Monohydrate,,,missing_amount,
964251,201332,Creatine Monohydrate,,,missing_amount,
10226,2014,Creatine Monohydrate,,,missing_amount,
964642,201404,Creatine Monohydrate,1350,mg,usable,1.35
964728,201411,Creatine Monohydrate,3000,mg,usable,3.0
967747,201796,Creatine Monohydrate,5,Gram(s),usable,5.0
974375,202516,Creatine Monohydrate,2100,mg,usable,2.1
975952,202633,Creatine Monohydrate,3,Gram(s),usable,3.0
975965,202634,Creatine Monohydrate,3,Gram(s),usable,3.0
10539,2028,Creatine Monohydrate,,,missing_amount,
979295,203266,Creatine Monohydrate,5,Gram(s),usable,5.0
981500,203590,Creatine Monohydrate,1,Gram(s),usable,1.0
981501,203590,Creatine Monohydrate,1,Gram(s),usable,1.0
983194,203785,Creatine Monohydrate,5,Gram(s),usable,5.0
983681,203849,Creapure 100% pure Creatine Monohydrate,3,Gram(s),usable,3.0
983695,203851,Creapure 100% pure Creatine Monohydrate,3,Gram(s),usable,3.0
983707,203852,Creapure 100% pure Creatine Monohydrate,3,Gram(s),usable,3.0
983719,203853,Creatine Monohydrate,3,Gram(s),usable,3.0
984461,203975,Creatine Monohydrate,5,Gram(s),usable,5.0
991032,204632,Creatine Monohydrate,1,Gram(s),usable,1.0
991033,204632,Creatine Monohydrate,1,Gram(s),usable,1.0
994659,204876,Creatine Monohydrate,3,Gram(s),usable,3.0
994695,204879,Creatine Monohydrate,3,Gram(s),usable,3.0
994713,204881,Creatine Monohydrate,3,Gram(s),usable,3.0
995679,204957,Creatine Monohydrate,,,missing_amount,
995764,204964,Creatine Monohydrate,,,missing_amount,
995794,204965,Creatine Monohydrate,,,missing_amount,
995824,204969,Creatine Monohydrate,,,missing_amount,
995879,204972,Creatine Monohydrate,,,missing_amount,
995902,204973,Creatine Monohydrate,,,missing_amount,
995925,204974,Creatine Monohydrate,,,missing_amount,
996150,204985,Creatine Monohydrate,,,missing_amount,
998304,205158,Creatine Monohydrate,3,Gram(s),usable,3.0
998664,205180,Creatine Monohydrate,5,Gram(s),usable,5.0
998706,205186,Creatine Monohydrate,5,Gram(s),usable,5.0
998724,205188,Creatine Monohydrate,5,Gram(s),usable,5.0
998931,205209,Creatine Monohydrate,4.5,Gram(s),usable,4.5
998942,205212,Creatine Monohydrate,4.2,Gram(s),usable,4.2
11724,2058,Creatine Monohydrate,1.3,Gram(s),usable,1.3
11762,2059,Creatine Monohydrate,1.3,Gram(s),usable,1.3
11799,2060,Creatine Monohydrate,1.3,Gram(s),usable,1.3
11837,2061,Creatine Monohydrate,1.3,Gram(s),usable,1.3
1007659,206168,Creatine Monohydrate,5,Gram(s),usable,5.0
1007796,206183,Creatine Monohydrate,3000,mg,usable,3.0
1007870,206189,Creatine Monohydrate,3000,mg,usable,3.0
1007905,206191,Creatine Monohydrate,3000,mg,usable,3.0
11875,2062,Creatine Monohydrate,1.3,Gram(s),usable,1.3
11913,2063,Creatine Monohydrate,1.3,Gram(s),usable,1.3
1010595,206440,Creatine Monohydrate,5,Gram(s),usable,5.0
1010604,206442,Creatine Monohydrate,5,Gram(s),usable,5.0
1012482,206627,Creatine Monohydrate,3,Gram(s),usable,3.0
1022674,207560,Creatine Monohydrate,5,Gram(s),usable,5.0
194986,20785,Creatine Monohydrate,,,missing_amount,
1029667,208368,Creatine Monohydrate,,,missing_amount,
1032412,208721,Creatine Monohydrate,5,Gram(s),usable,5.0
