dsld_id,api_url,retrieved_on,api_sha256,snapshot_rows,api_rows,matched_amounts_agree,interpretation
10960,https://api.ods.od.nih.gov/dsld/v9/label/10960,2026-09-08,89a783d06c1785adb938c5d2deedcd7371b066d6e8546fbd73e97c06a7817bd8,1,1,True,Amount agreement only; not image or efficacy validation
12707,https://api.ods.od.nih.gov/dsld/v9/label/12707,2026-09-08,36922cf3907a03eefc04f8692c792476e96b5dc9a16efd693baac0dc8f9edf3b,1,1,True,Amount agreement only; not image or efficacy validation
12766,https://api.ods.od.nih.gov/dsld/v9/label/12766,2026-09-08,96a0614f2f93c267dbff8cfd30f6684daaeb0ade922a97f77a54715fc89050d2,1,1,True,Amount agreement only; not image or efficacy validation
12854,https://api.ods.od.nih.gov/dsld/v9/label/12854,2026-09-08,4b7c1b88d504e4dc4c6fede787ed44a60085e53d89582232cd3233bedb6202f1,1,1,True,Amount agreement only; not image or efficacy validation
1312,https://api.ods.od.nih.gov/dsld/v9/label/1312,2026-09-08,20b69e538aa56d1a5a5f5a1748345062d148feb254f70004e4d367375d9c81d2,1,1,True,Amount agreement only; not image or efficacy validation
14625,https://api.ods.od.nih.gov/dsld/v9/label/14625,2026-09-08,5cd1a9c33b44b588ef05fd7cf3f397f46664317a1ffb37e0b30ebb02842981d3,1,1,True,Amount agreement only; not image or efficacy validation
182876,https://api.ods.od.nih.gov/dsld/v9/label/182876,2026-09-08,26f176bfd1327ed4dac8d7c6cdfb0e8527d97209e2c171b3a6cddd81c4fda1d8,3,3,True,Amount agreement only; not image or efficacy validation
183678,https://api.ods.od.nih.gov/dsld/v9/label/183678,2026-09-08,6f91a1851d5386e50deab458470ebbf455eae35a756cf226ed0ba9bc1d3b9cb0,1,1,True,Amount agreement only; not image or efficacy validation
183686,https://api.ods.od.nih.gov/dsld/v9/label/183686,2026-09-08,b8bb4126b5eb0aeb1756b4cd27300d1a3aedf65b5f75bba53f27508d6d43f3e3,1,1,True,Amount agreement only; not image or efficacy validation
18777,https://api.ods.od.nih.gov/dsld/v9/label/18777,2026-09-08,b64f3e92e182a04491a974a4864a3be6ebd9fe78b1c715d075d60640f464f163,1,1,True,Amount agreement only; not image or efficacy validation
209975,https://api.ods.od.nih.gov/dsld/v9/label/209975,2026-09-08,701433c0709f057f403cc21016e4e5f8e9e53bfbe2275c2d6414cfc3fd43ec2c,3,3,True,Amount agreement only; not image or efficacy validation
211083,https://api.ods.od.nih.gov/dsld/v9/label/211083,2026-09-08,83664767340ae3e9a0fb05c295fa04132759beae3502625c63543847eb88fed8,2,2,True,Amount agreement only; not image or efficacy validation
211460,https://api.ods.od.nih.gov/dsld/v9/label/211460,2026-09-08,6758aca487b603d6ed112490218db17d62e0bc47e58dd909789240028c7dadce,2,2,True,Amount agreement only; not image or efficacy validation
211635,https://api.ods.od.nih.gov/dsld/v9/label/211635,2026-09-08,e4d6d449b50113573822b58b81f7b0e8beae71e0f9280722fc50f03791445601,1,1,True,Amount agreement only; not image or efficacy validation
21437,https://api.ods.od.nih.gov/dsld/v9/label/21437,2026-09-08,6ef8b3277fca9142d4a7a48bf7dc09cabd18e6d189fa6b75715a1006aa91ed1e,3,3,True,Amount agreement only; not image or efficacy validation
215240,https://api.ods.od.nih.gov/dsld/v9/label/215240,2026-09-08,56477a24ca202bacc0d0bcd4dd351e3f415869d0e71f4c44639e25c62e3dce02,1,1,True,Amount agreement only; not image or efficacy validation
215241,https://api.ods.od.nih.gov/dsld/v9/label/215241,2026-09-08,01fd62b4c13ea4ffb6c717f0cce74e3f85e213f9edc861c34e4137801da9b1f5,1,1,True,Amount agreement only; not image or efficacy validation
215649,https://api.ods.od.nih.gov/dsld/v9/label/215649,2026-09-08,70875d219dfa69f19b530754805b047e36a0a58d531c1f220815b4552f0a1fa9,1,1,True,Amount agreement only; not image or efficacy validation
22022,https://api.ods.od.nih.gov/dsld/v9/label/22022,2026-09-08,488e2e3bbb0e2fff5cb5d8c70b2cdc1db6d62baf81b7cb808b0ae6526bb0e160,3,3,True,Amount agreement only; not image or efficacy validation
228238,https://api.ods.od.nih.gov/dsld/v9/label/228238,2026-09-08,2a2a695a41d41ac3a7fc788a157f72631c1bf98cdc008f2ca4f94f05b4c618f2,1,1,True,Amount agreement only; not image or efficacy validation
23068,https://api.ods.od.nih.gov/dsld/v9/label/23068,2026-09-08,7d21336dba60547082c14a618eb3a26706a06f2fbb4ba1db7af60e5c5322ea92,1,1,True,Amount agreement only; not image or efficacy validation
253763,https://api.ods.od.nih.gov/dsld/v9/label/253763,2026-09-08,4fe657102b29744d867919f821fb83fcfc5fbef8d1feacf423684554dc65f76a,1,1,True,Amount agreement only; not image or efficacy validation
