alias_policy,population,selection,threshold_g,total,usable,at_least_threshold,below_threshold,unusable,partly_unresolved,percent_of_usable
expanded,all,max,2.5,2163,1576,1115,461,587,4,70.7487
expanded,all,max,3.0,2163,1576,1038,538,587,4,65.8629
expanded,all,max,5.0,2163,1576,680,896,587,4,43.1472
expanded,all,min,2.5,2163,1576,1073,503,587,4,68.0838
expanded,all,min,3.0,2163,1576,925,651,587,4,58.6929
expanded,all,min,5.0,2163,1576,565,1011,587,4,35.8503
expanded,on_market,max,2.5,1278,916,694,222,362,2,75.7642
expanded,on_market,max,3.0,1278,916,648,268,362,2,70.7424
expanded,on_market,max,5.0,1278,916,448,468,362,2,48.9083
expanded,on_market,min,2.5,1278,916,666,250,362,2,72.7074
expanded,on_market,min,3.0,1278,916,559,357,362,2,61.0262
expanded,on_market,min,5.0,1278,916,362,554,362,2,39.5197
expanded,off_market,max,2.5,885,660,421,239,225,2,63.7879
expanded,off_market,max,3.0,885,660,390,270,225,2,59.0909
expanded,off_market,max,5.0,885,660,232,428,225,2,35.1515
expanded,off_market,min,2.5,885,660,407,253,225,2,61.6667
expanded,off_market,min,3.0,885,660,366,294,225,2,55.4545
expanded,off_market,min,5.0,885,660,203,457,225,2,30.7576
expanded,unknown,max,2.5,0,0,0,0,0,0,
expanded,unknown,max,3.0,0,0,0,0,0,0,
expanded,unknown,max,5.0,0,0,0,0,0,0,
expanded,unknown,min,2.5,0,0,0,0,0,0,
expanded,unknown,min,3.0,0,0,0,0,0,0,
expanded,unknown,min,5.0,0,0,0,0,0,0,
explicit_monohydrate,all,max,2.5,2155,1570,1115,455,585,4,71.0191
explicit_monohydrate,all,max,3.0,2155,1570,1038,532,585,4,66.1146
explicit_monohydrate,all,max,5.0,2155,1570,680,890,585,4,43.3121
explicit_monohydrate,all,min,2.5,2155,1570,1073,497,585,4,68.3439
explicit_monohydrate,all,min,3.0,2155,1570,925,645,585,4,58.9172
explicit_monohydrate,all,min,5.0,2155,1570,565,1005,585,4,35.9873
explicit_monohydrate,on_market,max,2.5,1271,911,694,217,360,2,76.18
explicit_monohydrate,on_market,max,3.0,1271,911,648,263,360,2,71.1306
explicit_monohydrate,on_market,max,5.0,1271,911,448,463,360,2,49.1767
explicit_monohydrate,on_market,min,2.5,1271,911,666,245,360,2,73.1065
explicit_monohydrate,on_market,min,3.0,1271,911,559,352,360,2,61.3611
explicit_monohydrate,on_market,min,5.0,1271,911,362,549,360,2,39.7366
explicit_monohydrate,off_market,max,2.5,884,659,421,238,225,2,63.8847
explicit_monohydrate,off_market,max,3.0,884,659,390,269,225,2,59.1806
explicit_monohydrate,off_market,max,5.0,884,659,232,427,225,2,35.2049
explicit_monohydrate,off_market,min,2.5,884,659,407,252,225,2,61.7602
explicit_monohydrate,off_market,min,3.0,884,659,366,293,225,2,55.5387
explicit_monohydrate,off_market,min,5.0,884,659,203,456,225,2,30.8042
explicit_monohydrate,unknown,max,2.5,0,0,0,0,0,0,
explicit_monohydrate,unknown,max,3.0,0,0,0,0,0,0,
explicit_monohydrate,unknown,max,5.0,0,0,0,0,0,0,
explicit_monohydrate,unknown,min,2.5,0,0,0,0,0,0,
explicit_monohydrate,unknown,min,3.0,0,0,0,0,0,0,
explicit_monohydrate,unknown,min,5.0,0,0,0,0,0,0,
case_insensitive,all,max,2.5,2329,1672,1180,492,657,4,70.5742
case_insensitive,all,max,3.0,2329,1672,1087,585,657,4,65.012
case_insensitive,all,max,5.0,2329,1672,716,956,657,4,42.823
case_insensitive,all,min,2.5,2329,1672,1138,534,657,4,68.0622
case_insensitive,all,min,3.0,2329,1672,973,699,657,4,58.1938
case_insensitive,all,min,5.0,2329,1672,600,1072,657,4,35.8852
case_insensitive,on_market,max,2.5,1370,957,726,231,413,2,75.8621
case_insensitive,on_market,max,3.0,1370,957,668,289,413,2,69.8015
case_insensitive,on_market,max,5.0,1370,957,461,496,413,2,48.1714
case_insensitive,on_market,min,2.5,1370,957,698,259,413,2,72.9363
case_insensitive,on_market,min,3.0,1370,957,578,379,413,2,60.3971
case_insensitive,on_market,min,5.0,1370,957,374,583,413,2,39.0805
case_insensitive,off_market,max,2.5,959,715,454,261,244,2,63.4965
case_insensitive,off_market,max,3.0,959,715,419,296,244,2,58.6014
case_insensitive,off_market,max,5.0,959,715,255,460,244,2,35.6643
case_insensitive,off_market,min,2.5,959,715,440,275,244,2,61.5385
case_insensitive,off_market,min,3.0,959,715,395,320,244,2,55.2448
case_insensitive,off_market,min,5.0,959,715,226,489,244,2,31.6084
case_insensitive,unknown,max,2.5,0,0,0,0,0,0,
case_insensitive,unknown,max,3.0,0,0,0,0,0,0,
case_insensitive,unknown,max,5.0,0,0,0,0,0,0,
case_insensitive,unknown,min,2.5,0,0,0,0,0,0,
case_insensitive,unknown,min,3.0,0,0,0,0,0,0,
case_insensitive,unknown,min,5.0,0,0,0,0,0,0,
